Time;EMMcp16
4.2273;6.84006
4.23425;6.84624
4.24119;6.85244
4.24814;6.85864
4.25508;6.86486
4.26203;6.87109
4.26897;6.87732
4.27591;6.88355
4.28286;6.88976
4.2898;6.89592
4.29675;6.90201
4.30369;6.90801
4.31064;6.91392
4.31758;6.9197
4.32453;6.92533
4.33147;6.93082
4.33841;6.93615
4.34536;6.94134
4.3523;6.94639
4.35925;6.95131
4.36619;6.95614
4.37314;6.96092
4.38008;6.96569
4.38703;6.97047
4.39397;6.97529
4.40091;6.98016
4.40786;6.98511
4.4148;6.99012
4.42175;6.99519
4.42869;7.00032
4.43564;7.0055
4.44258;7.0107
4.44954;7.01588
4.45648;7.021
4.46343;7.02604
4.47037;7.03098
4.47731;7.03578
4.48426;7.04043
4.4912;7.04491
4.49815;7.04923
4.50509;7.05339
4.51204;7.05739
4.51898;7.06121
4.52593;7.06487
4.53287;7.06839
4.53981;7.07177
4.54676;7.07502
4.5537;7.07815
4.56065;7.08117
4.56759;7.0841
4.57454;7.08692
4.58148;7.08962
4.58843;7.0922
4.59537;7.09467
4.60231;7.09703
4.60926;7.09928
4.6162;7.10143
4.62315;7.10349
4.63009;7.10547
4.63704;7.10739
4.64398;7.10925
4.65093;7.11108
4.65787;7.11291
4.66481;7.11477
4.67176;7.11667
4.6787;7.11863
4.68566;7.12067
4.6926;7.12281
4.69955;7.12506
4.70649;7.12743
4.71344;7.12994
4.72038;7.1326
4.72733;7.13544
4.73427;7.13847
4.74122;7.14169
4.74816;7.1451
4.7551;7.14872
4.76205;7.15254
4.76899;7.15652
4.77594;7.16065
4.78288;7.1649
4.78983;7.16926
4.79677;7.17367
4.80372;7.17811
4.81066;7.18254
4.8176;7.18693
4.82455;7.19125
4.83149;7.19549
4.83844;7.19962
4.84538;7.20364
4.85233;7.20756
4.85927;7.21136
4.86622;7.21506
4.87316;7.21867
4.8801;7.22221
4.88705;7.22567
4.89399;7.22908
4.90094;7.23241
4.90789;7.23569
4.91484;7.23889
4.92178;7.24201
4.92873;7.24503
4.93567;7.24794
4.94262;7.25072
4.94956;7.25336
4.9565;7.25586
4.96345;7.2582
4.97039;7.26041
4.97734;7.26249
4.98428;7.26448
4.99123;7.26641
4.99817;7.26833
5.00512;7.27027
5.01206;7.27229
5.019;7.27442
5.02595;7.27669
5.03289;7.27914
5.03984;7.28179
5.04678;7.28465
5.05373;7.28773
5.06067;7.291
5.06762;7.29447
5.07456;7.29811
5.0815;7.3019
5.08845;7.30581
5.09539;7.30981
5.10234;7.31389
5.10928;7.31804
5.11623;7.32223
5.12318;7.32646
5.13013;7.33073
5.13707;7.33503
5.14402;7.33937
5.15096;7.34374
5.15791;7.34814
5.16485;7.35257
5.17179;7.35703
5.17874;7.3615
5.18568;7.36599
5.19263;7.37047
5.19957;7.37493
5.20652;7.37936
5.21346;7.38374
5.22041;7.38803
5.22735;7.39221
5.23429;7.39626
5.24124;7.40015
5.24818;7.40386
5.25513;7.40737
5.26207;7.41068
5.26902;7.41378
5.27596;7.41669
5.28291;7.41938
5.28985;7.42189
5.29679;7.42424
5.30374;7.42643
5.31068;7.42851
5.31763;7.43048
5.32457;7.43237
5.33152;7.43421
5.33846;7.436
5.34541;7.43777
5.35236;7.43951
5.35931;7.44126
5.36625;7.44301
5.37319;7.44479
5.38014;7.4466
5.38708;7.44846
5.39403;7.45037
5.40097;7.45232
5.40792;7.45433
5.41486;7.45638
5.42181;7.45847
5.42875;7.46059
5.43569;7.46276
5.44264;7.46497
5.44958;7.46724
5.45653;7.46959
5.46347;7.47203
5.47042;7.47458
5.47736;7.47724
5.48431;7.48004
5.49125;7.48299
5.49819;7.4861
5.50514;7.48937
5.51208;7.49281
5.51903;7.49641
5.52597;7.50018
5.53292;7.50409
5.53986;7.50813
5.54681;7.51229
5.55375;7.51654
5.56069;7.52089
5.56764;7.5253
5.57459;7.52976
5.58154;7.53424
5.58848;7.53873
5.59543;7.54318
5.60237;7.54758
5.60932;7.55189
5.61626;7.55612
